"STATISTIC","Statistic","TLIST(W1)","Weekly","C02199V02655","Sex","UNIT","VALUE"
"RIP01C01","Average RIP death notices","2020W01","2020W01","-","Both sexes","Number","709"
"RIP01C01","Average RIP death notices","2020W01","2020W01","1","Male","Number","333"
"RIP01C01","Average RIP death notices","2020W01","2020W01","2","Female","Number","377"
"RIP01C01","Average RIP death notices","2020W02","2020W02","-","Both sexes","Number","740"
"RIP01C01","Average RIP death notices","2020W02","2020W02","1","Male","Number","383"
"RIP01C01","Average RIP death notices","2020W02","2020W02","2","Female","Number","376"
"RIP01C01","Average RIP death notices","2020W03","2020W03","-","Both sexes","Number","647"
"RIP01C01","Average RIP death notices","2020W03","2020W03","1","Male","Number","301"
"RIP01C01","Average RIP death notices","2020W03","2020W03","2","Female","Number","322"
"RIP01C01","Average RIP death notices","2020W04","2020W04","-","Both sexes","Number","621"
"RIP01C01","Average RIP death notices","2020W04","2020W04","1","Male","Number","319"
"RIP01C01","Average RIP death notices","2020W04","2020W04","2","Female","Number","314"
"RIP01C01","Average RIP death notices","2020W05","2020W05","-","Both sexes","Number","635"
"RIP01C01","Average RIP death notices","2020W05","2020W05","1","Male","Number","326"
"RIP01C01","Average RIP death notices","2020W05","2020W05","2","Female","Number","307"
"RIP01C01","Average RIP death notices","2020W06","2020W06","-","Both sexes","Number","634"
"RIP01C01","Average RIP death notices","2020W06","2020W06","1","Male","Number","319"
"RIP01C01","Average RIP death notices","2020W06","2020W06","2","Female","Number","314"
"RIP01C01","Average RIP death notices","2020W07","2020W07","-","Both sexes","Number","661"
"RIP01C01","Average RIP death notices","2020W07","2020W07","1","Male","Number","337"
"RIP01C01","Average RIP death notices","2020W07","2020W07","2","Female","Number","328"
"RIP01C01","Average RIP death notices","2020W08","2020W08","-","Both sexes","Number","625"
"RIP01C01","Average RIP death notices","2020W08","2020W08","1","Male","Number","318"
"RIP01C01","Average RIP death notices","2020W08","2020W08","2","Female","Number","304"
"RIP01C01","Average RIP death notices","2020W09","2020W09","-","Both sexes","Number","623"
"RIP01C01","Average RIP death notices","2020W09","2020W09","1","Male","Number","318"
"RIP01C01","Average RIP death notices","2020W09","2020W09","2","Female","Number","312"
"RIP01C01","Average RIP death notices","2020W10","2020W10","-","Both sexes","Number","635"
"RIP01C01","Average RIP death notices","2020W10","2020W10","1","Male","Number","308"
"RIP01C01","Average RIP death notices","2020W10","2020W10","2","Female","Number","309"
"RIP01C01","Average RIP death notices","2020W11","2020W11","-","Both sexes","Number","617"
"RIP01C01","Average RIP death notices","2020W11","2020W11","1","Male","Number","340"
"RIP01C01","Average RIP death notices","2020W11","2020W11","2","Female","Number","291"
"RIP01C01","Average RIP death notices","2020W12","2020W12","-","Both sexes","Number","631"
"RIP01C01","Average RIP death notices","2020W12","2020W12","1","Male","Number","348"
"RIP01C01","Average RIP death notices","2020W12","2020W12","2","Female","Number","290"
"RIP01C01","Average RIP death notices","2020W13","2020W13","-","Both sexes","Number","673"
"RIP01C01","Average RIP death notices","2020W13","2020W13","1","Male","Number","369"
"RIP01C01","Average RIP death notices","2020W13","2020W13","2","Female","Number","306"
"RIP01C01","Average RIP death notices","2020W14","2020W14","-","Both sexes","Number","827"
"RIP01C01","Average RIP death notices","2020W14","2020W14","1","Male","Number","436"
"RIP01C01","Average RIP death notices","2020W14","2020W14","2","Female","Number","383"
"RIP01C01","Average RIP death notices","2020W15","2020W15","-","Both sexes","Number","896"
"RIP01C01","Average RIP death notices","2020W15","2020W15","1","Male","Number","443"
"RIP01C01","Average RIP death notices","2020W15","2020W15","2","Female","Number","463"
"RIP01C01","Average RIP death notices","2020W16","2020W16","-","Both sexes","Number","845"
"RIP01C01","Average RIP death notices","2020W16","2020W16","1","Male","Number","448"
"RIP01C01","Average RIP death notices","2020W16","2020W16","2","Female","Number","407"
"RIP01C01","Average RIP death notices","2020W17","2020W17","-","Both sexes","Number","751"
"RIP01C01","Average RIP death notices","2020W17","2020W17","1","Male","Number","378"
"RIP01C01","Average RIP death notices","2020W17","2020W17","2","Female","Number","365"
"RIP01C01","Average RIP death notices","2020W18","2020W18","-","Both sexes","Number","694"
"RIP01C01","Average RIP death notices","2020W18","2020W18","1","Male","Number","343"
"RIP01C01","Average RIP death notices","2020W18","2020W18","2","Female","Number","335"
"RIP01C01","Average RIP death notices","2020W19","2020W19","-","Both sexes","Number","647"
"RIP01C01","Average RIP death notices","2020W19","2020W19","1","Male","Number","300"
"RIP01C01","Average RIP death notices","2020W19","2020W19","2","Female","Number","333"
"RIP01C01","Average RIP death notices","2020W20","2020W20","-","Both sexes","Number","599"
"RIP01C01","Average RIP death notices","2020W20","2020W20","1","Male","Number","322"
"RIP01C01","Average RIP death notices","2020W20","2020W20","2","Female","Number","292"
"RIP01C01","Average RIP death notices","2020W21","2020W21","-","Both sexes","Number","543"
"RIP01C01","Average RIP death notices","2020W21","2020W21","1","Male","Number","285"
"RIP01C01","Average RIP death notices","2020W21","2020W21","2","Female","Number","261"
"RIP01C01","Average RIP death notices","2020W22","2020W22","-","Both sexes","Number","561"
"RIP01C01","Average RIP death notices","2020W22","2020W22","1","Male","Number","292"
"RIP01C01","Average RIP death notices","2020W22","2020W22","2","Female","Number","270"
"RIP01C01","Average RIP death notices","2020W23","2020W23","-","Both sexes","Number","516"
"RIP01C01","Average RIP death notices","2020W23","2020W23","1","Male","Number","264"
"RIP01C01","Average RIP death notices","2020W23","2020W23","2","Female","Number","244"
"RIP01C01","Average RIP death notices","2020W24","2020W24","-","Both sexes","Number","528"
"RIP01C01","Average RIP death notices","2020W24","2020W24","1","Male","Number","277"
"RIP01C01","Average RIP death notices","2020W24","2020W24","2","Female","Number","255"
"RIP01C01","Average RIP death notices","2020W25","2020W25","-","Both sexes","Number","514"
"RIP01C01","Average RIP death notices","2020W25","2020W25","1","Male","Number","264"
"RIP01C01","Average RIP death notices","2020W25","2020W25","2","Female","Number","234"
"RIP01C01","Average RIP death notices","2020W26","2020W26","-","Both sexes","Number","502"
"RIP01C01","Average RIP death notices","2020W26","2020W26","1","Male","Number","236"
"RIP01C01","Average RIP death notices","2020W26","2020W26","2","Female","Number","273"
"RIP01C01","Average RIP death notices","2020W27","2020W27","-","Both sexes","Number","477"
"RIP01C01","Average RIP death notices","2020W27","2020W27","1","Male","Number","246"
"RIP01C01","Average RIP death notices","2020W27","2020W27","2","Female","Number","240"
"RIP01C01","Average RIP death notices","2020W28","2020W28","-","Both sexes","Number","512"
"RIP01C01","Average RIP death notices","2020W28","2020W28","1","Male","Number","266"
"RIP01C01","Average RIP death notices","2020W28","2020W28","2","Female","Number","247"
"RIP01C01","Average RIP death notices","2020W29","2020W29","-","Both sexes","Number","555"
"RIP01C01","Average RIP death notices","2020W29","2020W29","1","Male","Number","266"
"RIP01C01","Average RIP death notices","2020W29","2020W29","2","Female","Number","280"
"RIP01C01","Average RIP death notices","2020W30","2020W30","-","Both sexes","Number","514"
"RIP01C01","Average RIP death notices","2020W30","2020W30","1","Male","Number","274"
"RIP01C01","Average RIP death notices","2020W30","2020W30","2","Female","Number","242"
"RIP01C01","Average RIP death notices","2020W31","2020W31","-","Both sexes","Number","473"
"RIP01C01","Average RIP death notices","2020W31","2020W31","1","Male","Number","254"
"RIP01C01","Average RIP death notices","2020W31","2020W31","2","Female","Number","219"
"RIP01C01","Average RIP death notices","2020W32","2020W32","-","Both sexes","Number","531"
"RIP01C01","Average RIP death notices","2020W32","2020W32","1","Male","Number","285"
"RIP01C01","Average RIP death notices","2020W32","2020W32","2","Female","Number","245"
"RIP01C01","Average RIP death notices","2020W33","2020W33","-","Both sexes","Number","526"
"RIP01C01","Average RIP death notices","2020W33","2020W33","1","Male","Number","261"
"RIP01C01","Average RIP death notices","2020W33","2020W33","2","Female","Number","273"
"RIP01C01","Average RIP death notices","2020W34","2020W34","-","Both sexes","Number","535"
