"STATISTIC","Statistic","TLIST(D1)","Day","C02199V02655","Sex","UNIT","VALUE"
"RIP02C01","RIP.ie death notices","2019M12D30","2019 December 30","-","Both sexes","Number","110"
"RIP02C01","RIP.ie death notices","2019M12D30","2019 December 30","1","Male","Number","38"
"RIP02C01","RIP.ie death notices","2019M12D30","2019 December 30","2","Female","Number","72"
"RIP02C01","RIP.ie death notices","2019M12D31","2019 December 31","-","Both sexes","Number","108"
"RIP02C01","RIP.ie death notices","2019M12D31","2019 December 31","1","Male","Number","54"
"RIP02C01","RIP.ie death notices","2019M12D31","2019 December 31","2","Female","Number","54"
"RIP02C01","RIP.ie death notices","2020M01D01","2020 January 01","-","Both sexes","Number","99"
"RIP02C01","RIP.ie death notices","2020M01D01","2020 January 01","1","Male","Number","43"
"RIP02C01","RIP.ie death notices","2020M01D01","2020 January 01","2","Female","Number","56"
"RIP02C01","RIP.ie death notices","2020M01D02","2020 January 02","-","Both sexes","Number","102"
"RIP02C01","RIP.ie death notices","2020M01D02","2020 January 02","1","Male","Number","41"
"RIP02C01","RIP.ie death notices","2020M01D02","2020 January 02","2","Female","Number","61"
"RIP02C01","RIP.ie death notices","2020M01D03","2020 January 03","-","Both sexes","Number","104"
"RIP02C01","RIP.ie death notices","2020M01D03","2020 January 03","1","Male","Number","63"
"RIP02C01","RIP.ie death notices","2020M01D03","2020 January 03","2","Female","Number","41"
"RIP02C01","RIP.ie death notices","2020M01D04","2020 January 04","-","Both sexes","Number","102"
"RIP02C01","RIP.ie death notices","2020M01D04","2020 January 04","1","Male","Number","52"
"RIP02C01","RIP.ie death notices","2020M01D04","2020 January 04","2","Female","Number","50"
"RIP02C01","RIP.ie death notices","2020M01D05","2020 January 05","-","Both sexes","Number","84"
"RIP02C01","RIP.ie death notices","2020M01D05","2020 January 05","1","Male","Number","41"
"RIP02C01","RIP.ie death notices","2020M01D05","2020 January 05","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M01D06","2020 January 06","-","Both sexes","Number","98"
"RIP02C01","RIP.ie death notices","2020M01D06","2020 January 06","1","Male","Number","39"
"RIP02C01","RIP.ie death notices","2020M01D06","2020 January 06","2","Female","Number","59"
"RIP02C01","RIP.ie death notices","2020M01D07","2020 January 07","-","Both sexes","Number","103"
"RIP02C01","RIP.ie death notices","2020M01D07","2020 January 07","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M01D07","2020 January 07","2","Female","Number","58"
"RIP02C01","RIP.ie death notices","2020M01D08","2020 January 08","-","Both sexes","Number","104"
"RIP02C01","RIP.ie death notices","2020M01D08","2020 January 08","1","Male","Number","57"
"RIP02C01","RIP.ie death notices","2020M01D08","2020 January 08","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M01D09","2020 January 09","-","Both sexes","Number","108"
"RIP02C01","RIP.ie death notices","2020M01D09","2020 January 09","1","Male","Number","52"
"RIP02C01","RIP.ie death notices","2020M01D09","2020 January 09","2","Female","Number","56"
"RIP02C01","RIP.ie death notices","2020M01D10","2020 January 10","-","Both sexes","Number","115"
"RIP02C01","RIP.ie death notices","2020M01D10","2020 January 10","1","Male","Number","53"
"RIP02C01","RIP.ie death notices","2020M01D10","2020 January 10","2","Female","Number","62"
"RIP02C01","RIP.ie death notices","2020M01D11","2020 January 11","-","Both sexes","Number","90"
"RIP02C01","RIP.ie death notices","2020M01D11","2020 January 11","1","Male","Number","49"
"RIP02C01","RIP.ie death notices","2020M01D11","2020 January 11","2","Female","Number","41"
"RIP02C01","RIP.ie death notices","2020M01D12","2020 January 12","-","Both sexes","Number","122"
"RIP02C01","RIP.ie death notices","2020M01D12","2020 January 12","1","Male","Number","69"
"RIP02C01","RIP.ie death notices","2020M01D12","2020 January 12","2","Female","Number","53"
"RIP02C01","RIP.ie death notices","2020M01D13","2020 January 13","-","Both sexes","Number","109"
"RIP02C01","RIP.ie death notices","2020M01D13","2020 January 13","1","Male","Number","58"
"RIP02C01","RIP.ie death notices","2020M01D13","2020 January 13","2","Female","Number","51"
"RIP02C01","RIP.ie death notices","2020M01D14","2020 January 14","-","Both sexes","Number","87"
"RIP02C01","RIP.ie death notices","2020M01D14","2020 January 14","1","Male","Number","42"
"RIP02C01","RIP.ie death notices","2020M01D14","2020 January 14","2","Female","Number","45"
"RIP02C01","RIP.ie death notices","2020M01D15","2020 January 15","-","Both sexes","Number","94"
"RIP02C01","RIP.ie death notices","2020M01D15","2020 January 15","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M01D15","2020 January 15","2","Female","Number","50"
"RIP02C01","RIP.ie death notices","2020M01D16","2020 January 16","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M01D16","2020 January 16","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M01D16","2020 January 16","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M01D17","2020 January 17","-","Both sexes","Number","77"
"RIP02C01","RIP.ie death notices","2020M01D17","2020 January 17","1","Male","Number","39"
"RIP02C01","RIP.ie death notices","2020M01D17","2020 January 17","2","Female","Number","38"
"RIP02C01","RIP.ie death notices","2020M01D18","2020 January 18","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M01D18","2020 January 18","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M01D18","2020 January 18","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M01D19","2020 January 19","-","Both sexes","Number","96"
"RIP02C01","RIP.ie death notices","2020M01D19","2020 January 19","1","Male","Number","49"
"RIP02C01","RIP.ie death notices","2020M01D19","2020 January 19","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M01D20","2020 January 20","-","Both sexes","Number","76"
"RIP02C01","RIP.ie death notices","2020M01D20","2020 January 20","1","Male","Number","34"
"RIP02C01","RIP.ie death notices","2020M01D20","2020 January 20","2","Female","Number","42"
"RIP02C01","RIP.ie death notices","2020M01D21","2020 January 21","-","Both sexes","Number","100"
"RIP02C01","RIP.ie death notices","2020M01D21","2020 January 21","1","Male","Number","59"
"RIP02C01","RIP.ie death notices","2020M01D21","2020 January 21","2","Female","Number","41"
"RIP02C01","RIP.ie death notices","2020M01D22","2020 January 22","-","Both sexes","Number","93"
"RIP02C01","RIP.ie death notices","2020M01D22","2020 January 22","1","Male","Number","47"
"RIP02C01","RIP.ie death notices","2020M01D22","2020 January 22","2","Female","Number","46"
"RIP02C01","RIP.ie death notices","2020M01D23","2020 January 23","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M01D23","2020 January 23","1","Male","Number","40"
"RIP02C01","RIP.ie death notices","2020M01D23","2020 January 23","2","Female","Number","48"
"RIP02C01","RIP.ie death notices","2020M01D24","2020 January 24","-","Both sexes","Number","97"
"RIP02C01","RIP.ie death notices","2020M01D24","2020 January 24","1","Male","Number","42"
"RIP02C01","RIP.ie death notices","2020M01D24","2020 January 24","2","Female","Number","55"
"RIP02C01","RIP.ie death notices","2020M01D25","2020 January 25","-","Both sexes","Number","89"
"RIP02C01","RIP.ie death notices","2020M01D25","2020 January 25","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M01D25","2020 January 25","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M01D26","2020 January 26","-","Both sexes","Number","78"
"RIP02C01","RIP.ie death notices","2020M01D26","2020 January 26","1","Male","Number","40"
"RIP02C01","RIP.ie death notices","2020M01D26","2020 January 26","2","Female","Number","38"
"RIP02C01","RIP.ie death notices","2020M01D27","2020 January 27","-","Both sexes","Number","89"
"RIP02C01","RIP.ie death notices","2020M01D27","2020 January 27","1","Male","Number","46"
"RIP02C01","RIP.ie death notices","2020M01D27","2020 January 27","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M01D28","2020 January 28","-","Both sexes","Number","106"
"RIP02C01","RIP.ie death notices","2020M01D28","2020 January 28","1","Male","Number","53"
"RIP02C01","RIP.ie death notices","2020M01D28","2020 January 28","2","Female","Number","53"
"RIP02C01","RIP.ie death notices","2020M01D29","2020 January 29","-","Both sexes","Number","65"
"RIP02C01","RIP.ie death notices","2020M01D29","2020 January 29","1","Male","Number","38"
"RIP02C01","RIP.ie death notices","2020M01D29","2020 January 29","2","Female","Number","27"
"RIP02C01","RIP.ie death notices","2020M01D30","2020 January 30","-","Both sexes","Number","114"
"RIP02C01","RIP.ie death notices","2020M01D30","2020 January 30","1","Male","Number","54"
"RIP02C01","RIP.ie death notices","2020M01D30","2020 January 30","2","Female","Number","60"
"RIP02C01","RIP.ie death notices","2020M01D31","2020 January 31","-","Both sexes","Number","76"
"RIP02C01","RIP.ie death notices","2020M01D31","2020 January 31","1","Male","Number","38"
"RIP02C01","RIP.ie death notices","2020M01D31","2020 January 31","2","Female","Number","38"
"RIP02C01","RIP.ie death notices","2020M02D01","2020 February 01","-","Both sexes","Number","95"
"RIP02C01","RIP.ie death notices","2020M02D01","2020 February 01","1","Male","Number","51"
"RIP02C01","RIP.ie death notices","2020M02D01","2020 February 01","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D02","2020 February 02","-","Both sexes","Number","90"
"RIP02C01","RIP.ie death notices","2020M02D02","2020 February 02","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M02D02","2020 February 02","2","Female","Number","42"
"RIP02C01","RIP.ie death notices","2020M02D03","2020 February 03","-","Both sexes","Number","87"
"RIP02C01","RIP.ie death notices","2020M02D03","2020 February 03","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D03","2020 February 03","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M02D04","2020 February 04","-","Both sexes","Number","83"
"RIP02C01","RIP.ie death notices","2020M02D04","2020 February 04","1","Male","Number","43"
"RIP02C01","RIP.ie death notices","2020M02D04","2020 February 04","2","Female","Number","40"
"RIP02C01","RIP.ie death notices","2020M02D05","2020 February 05","-","Both sexes","Number","94"
"RIP02C01","RIP.ie death notices","2020M02D05","2020 February 05","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M02D05","2020 February 05","2","Female","Number","46"
"RIP02C01","RIP.ie death notices","2020M02D06","2020 February 06","-","Both sexes","Number","79"
"RIP02C01","RIP.ie death notices","2020M02D06","2020 February 06","1","Male","Number","47"
"RIP02C01","RIP.ie death notices","2020M02D06","2020 February 06","2","Female","Number","32"
"RIP02C01","RIP.ie death notices","2020M02D07","2020 February 07","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M02D07","2020 February 07","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M02D07","2020 February 07","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D08","2020 February 08","-","Both sexes","Number","98"
"RIP02C01","RIP.ie death notices","2020M02D08","2020 February 08","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D08","2020 February 08","2","Female","Number","54"
"RIP02C01","RIP.ie death notices","2020M02D09","2020 February 09","-","Both sexes","Number","101"
"RIP02C01","RIP.ie death notices","2020M02D09","2020 February 09","1","Male","Number","46"
"RIP02C01","RIP.ie death notices","2020M02D09","2020 February 09","2","Female","Number","55"
"RIP02C01","RIP.ie death notices","2020M02D10","2020 February 10","-","Both sexes","Number","79"
"RIP02C01","RIP.ie death notices","2020M02D10","2020 February 10","1","Male","Number","43"
"RIP02C01","RIP.ie death notices","2020M02D10","2020 February 10","2","Female","Number","36"
"RIP02C01","RIP.ie death notices","2020M02D11","2020 February 11","-","Both sexes","Number","98"
"RIP02C01","RIP.ie death notices","2020M02D11","2020 February 11","1","Male","Number","55"
"RIP02C01","RIP.ie death notices","2020M02D11","2020 February 11","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M02D12","2020 February 12","-","Both sexes","Number","105"
"RIP02C01","RIP.ie death notices","2020M02D12","2020 February 12","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M02D12","2020 February 12","2","Female","Number","57"
