"STATISTIC","Statistic","TLIST(W1)","Week","C02199V02655","Sex","UNIT","VALUE"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W01","Week 1","-","Both sexes","Number","748"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W01","Week 1","1","Male","Number","378"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W01","Week 1","2","Female","Number","370"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W02","Week 2","-","Both sexes","Number","754"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W02","Week 2","1","Male","Number","366"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W02","Week 2","2","Female","Number","388"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W03","Week 3","-","Both sexes","Number","744"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W03","Week 3","1","Male","Number","369"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W03","Week 3","2","Female","Number","376"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W04","Week 4","-","Both sexes","Number","722"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W04","Week 4","1","Male","Number","367"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W04","Week 4","2","Female","Number","355"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W05","Week 5","-","Both sexes","Number","696"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W05","Week 5","1","Male","Number","350"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W05","Week 5","2","Female","Number","347"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W06","Week 6","-","Both sexes","Number","684"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W06","Week 6","1","Male","Number","359"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W06","Week 6","2","Female","Number","326"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W07","Week 7","-","Both sexes","Number","678"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W07","Week 7","1","Male","Number","353"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W07","Week 7","2","Female","Number","325"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W08","Week 8","-","Both sexes","Number","637"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W08","Week 8","1","Male","Number","324"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W08","Week 8","2","Female","Number","313"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W09","Week 9","-","Both sexes","Number","656"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W09","Week 9","1","Male","Number","340"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W09","Week 9","2","Female","Number","316"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W10","Week 10","-","Both sexes","Number","667"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W10","Week 10","1","Male","Number","330"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W10","Week 10","2","Female","Number","337"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W11","Week 11","-","Both sexes","Number","619"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W11","Week 11","1","Male","Number","310"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W11","Week 11","2","Female","Number","309"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W12","Week 12","-","Both sexes","Number","612"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W12","Week 12","1","Male","Number","319"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W12","Week 12","2","Female","Number","293"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W13","Week 13","-","Both sexes","Number","610"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W13","Week 13","1","Male","Number","315"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W13","Week 13","2","Female","Number","295"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W14","Week 14","-","Both sexes","Number","604"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W14","Week 14","1","Male","Number","320"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W14","Week 14","2","Female","Number","284"
"RIP03C01","Average Number of Registered Weekly Deaths 2016-2019","W15","Week 15","-","Both sexes","Number","598"
